OI_c,CHNG_IN_OI_c,VOLUME_c,IV_c,LTP_c,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG_IN_OI,OI
-,-,-,-,-,-,-,-,-,-,"1,600.00","11,550",0.45,0.5,"2,73,350",-0.05,0.45,38.93,146,-8,920
21,-,-,-,-,-,"5,500",334.05,349.65,"1,650","1,640.00","8,250",0.35,0.45,"4,400",-,-,-,-,-,64
-,-,-,-,-,-,"2,200",296.3,309.95,"1,650","1,680.00","8,250",0.5,0.55,"11,550",0.05,0.5,31.52,243,-132,72
92,1,3,-,270,11.5,550,280.3,283.7,550,"1,700.00","11,550",0.5,0.55,"38,500",-0.1,0.55,29.95,132,11,732
5,-,-,-,-,-,"2,200",256.65,267.3,"2,200","1,720.00","1,100",0.55,0.6,"1,650",-0.2,0.55,28.32,35,-7,140
145,-,1,41.08,255,67,550,240.5,244.15,550,"1,740.00","4,950",0.55,0.6,"39,600",-0.25,0.55,26.04,901,114,"1,007"
42,-,-,-,-,-,"10,450",215.8,225.9,"6,050","1,760.00","2,750",0.8,0.85,"5,500",-0.4,0.8,25.45,165,25,752
38,-,-,-,-,-,"10,450",196.05,207,"2,750","1,780.00","8,250",1,1.1,"1,650",-0.5,1.1,24.64,766,51,402
333,-11,36,-,184.4,25.65,550,182.4,184.55,550,"1,800.00","18,150",1.35,1.4,"30,250",-0.85,1.4,23.51,"2,119",-111,"2,300"
112,-,-,-,-,-,"4,950",162,167,550,"1,820.00","3,850",1.65,1.7,"4,400",-1.2,1.7,22,"1,406",544,971
134,-1,43,-,147.05,24.35,550,143.95,145.05,550,"1,840.00","9,900",2.45,2.5,"6,600",-1.7,2.5,21.36,"2,122",-7,840
153,-18,69,-,129,25.75,550,124.85,126.5,550,"1,860.00","9,900",3.45,3.5,"2,750",-2.4,3.5,20.69,"3,758",239,"1,806"
281,-3,63,15.62,111,24.55,550,106.85,108.1,550,"1,880.00","12,650",4.95,5,"1,650",-3.5,5,19.97,"4,679",60,"1,207"
"1,406",234,"2,353",11.62,89.1,18.35,"1,100",88.95,89.45,"1,100","1,900.00","9,350",7.15,7.25,"8,250",-4.8,7.25,19.37,"12,468",984,"4,419"
"1,698",-288,"3,082",12.08,72.1,16.45,550,72.65,73,550,"1,920.00","7,700",10.2,10.3,"5,500",-6.95,10.25,18.78,"7,522",218,"2,688"
"4,107","-1,288","10,313",13.98,56.8,14.55,550,56.85,57.15,"1,100","1,940.00","8,250",14.45,14.6,"14,850",-9.45,14.4,18.26,"14,107",173,"4,754"
"4,534",-661,"18,116",14.21,42.8,12.25,550,42.65,42.8,"1,650","1,960.00",550,20.4,20.45,"11,000",-11.5,20.4,17.77,"13,085","1,314","3,569"
"5,528",276,"15,609",14.41,31.05,9.95,550,31,31.15,"2,200","1,980.00","1,650",28.25,28.4,"6,050",-14,28.3,17.59,"10,308","1,843","2,338"
"11,184",121,"36,809",14.45,21.5,7.15,"3,850",21.45,21.6,"4,950","2,000.00",550,38.85,38.95,"1,100",-16.35,38.95,17.74,"6,382",630,"1,618"
"1,963",134,"13,500",14.68,14.6,5.1,550,14.45,14.55,"5,500","2,020.00",550,51.45,51.75,"1,650",-18.2,51.8,18.28,"1,557",206,557
"3,698","2,314","18,358",14.84,9.4,3.35,"6,050",9.3,9.4,"7,700","2,040.00","1,100",66.45,66.85,550,-20.7,65.45,18.86,542,69,377
"2,027",404,"10,295",15.32,6.3,2.5,"1,100",6.3,6.35,"8,250","2,060.00",550,82.95,83.5,550,-23.15,82.6,20.83,430,147,243
"1,430",59,"7,369",16.01,4.35,1.9,"1,100",4.35,4.4,"10,450","2,080.00","1,100",100.3,102.55,550,-24.8,97.5,19.2,27,14,35
"4,418",484,"13,027",16.97,3.25,1.25,"10,450",3.2,3.25,"8,800","2,100.00",550,119.4,120.4,550,-23,119,24.05,65,7,160
"1,710",9,"3,852",17.59,2.25,0.7,"8,250",2.2,2.25,"3,300","2,120.00",550,137.15,143.65,"1,100",-,-,-,-,-,-
760,273,"1,662",18.05,1.5,0.5,"4,400",1.45,1.5,"8,250","2,140.00",-,-,-,-,-,-,-,-,-,-
550,-223,"1,881",18.95,1.15,0.4,"4,950",1.15,1.2,"6,050","2,160.00","2,750",170.9,181.45,"4,950",-,-,-,-,-,1
"2,240",126,"3,602",21.11,0.8,0.05,"78,100",0.8,0.85,"34,650","2,200.00","4,400",213.2,219.25,550,-51,202,-,2,-1,51
