OI_c,CHNG_IN_OI_c,VOLUME_c,IV_c,LTP_c,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG_IN_OI,OI
-,-,-,-,-,-,-,-,-,-,"1,200.00","2,000",0.3,0.4,400,0.05,0.4,-,3,-3,186
4,-,-,-,-,-,"1,600",316.2,334.2,"1,600","1,240.00",-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,"1,200",275.7,292.2,"1,200","1,280.00","2,000",0.3,0.55,400,-,-,-,-,-,84
-,-,-,-,-,-,"1,200",235.9,251.6,"1,200","1,320.00","1,200",0.3,0.45,"3,200",-0.1,0.3,30.67,12,-9,204
-,-,-,-,-,-,-,-,-,-,"1,340.00","16,000",0.35,0.4,"7,200",-0.1,0.35,28.82,36,-5,"1,751"
19,-,-,-,-,-,"5,200",197.9,205.65,"1,600","1,360.00","1,200",0.7,0.75,800,-0.1,0.75,29.39,43,-35,514
-,-,-,-,-,-,"3,600",178.05,186.6,"3,600","1,380.00","3,200",0.95,1,800,-0.25,1,28.02,242,-23,498
127,-1,40,-,163.2,-1.05,400,161.7,165.15,400,"1,400.00","4,400",1.6,1.7,"2,000",-0.3,1.7,27.7,348,65,"1,534"
15,-,-,-,-,-,800,141.55,147.6,"2,800","1,420.00","5,200",2.2,2.3,"4,000",-0.55,2.25,26.55,260,13,775
86,-,-,-,-,-,"1,200",122.6,126.55,400,"1,440.00","3,200",3.2,3.25,"1,200",-0.95,3.2,25.46,319,55,863
83,-2,8,19.47,106.75,5.5,400,106.7,107.55,800,"1,460.00","6,800",4.75,4.85,"3,600",-1.3,4.85,24.75,564,-21,819
98,9,57,18.83,89.5,0.35,400,89.4,89.75,400,"1,480.00","1,200",7.25,7.35,"4,400",-1.65,7.3,24.47,858,23,941
869,83,592,21.14,72.75,-0.4,800,73.1,73.4,800,"1,500.00","1,200",10.8,10.9,"2,400",-2.15,10.8,23.97,"1,570",-5,"2,368"
295,20,611,20.51,58.1,-0.2,400,58,58.25,800,"1,520.00","3,600",15.7,15.85,"5,200",-2.4,15.7,23.84,"1,014",39,671
"2,176",35,"2,671",20.77,44.7,-0.9,800,44.7,44.95,"1,200","1,540.00","1,600",22.35,22.5,800,-2.9,22.35,23.52,"2,118",138,"1,372"
"4,414",428,"5,017",20.78,33.7,-0.9,"2,000",33.55,33.75,400,"1,560.00","2,000",30.95,31.15,"1,200",-2.8,31.25,23.67,"2,008",162,"2,508"
"2,828",70,"2,559",20.98,24.45,-0.85,"1,600",24.25,24.4,"1,600","1,580.00","2,000",41.5,41.75,800,-3.1,41.7,23.33,566,-59,"1,352"
"6,376",295,"4,107",20.75,16.75,-1.15,400,16.8,16.9,"2,000","1,600.00",400,53.9,54.15,400,-3.1,54.1,23.76,564,-12,"2,332"
"2,021",114,"1,642",20.75,11.2,-0.95,"1,200",11.15,11.25,"3,200","1,620.00",400,68.15,68.55,400,-2.35,69,23.99,89,-25,261
"3,663",350,"1,756",20.55,7.1,-0.75,"1,600",7.05,7.1,"1,200","1,640.00",400,83.45,84.55,400,-4.15,84.7,24.31,3,-,170
"2,016",9,"1,063",21.16,4.6,-0.55,"6,000",4.6,4.65,800,"1,660.00",400,101.15,101.9,400,3.95,102.95,26.23,3,-,130
856,14,342,21.49,3,-0.4,"3,600",3,3.05,"4,000","1,680.00",400,118.85,120.65,400,-3.05,122.95,29.67,43,-22,180
"3,420",184,852,22.49,2.15,-0.15,"1,600",2.1,2.15,"4,800","1,700.00",400,138.35,139.9,800,-1.25,139.55,28.65,100,-29,571
769,-52,263,22.92,1.35,0.05,"1,600",1.35,1.4,"4,400","1,720.00",400,156.85,159.55,400,2.85,172.85,46.64,1,-,204
"1,199",-65,320,22.64,0.75,-,"1,200",0.75,0.8,"3,200","1,740.00","1,200",167.05,183,"3,600",-,-,-,-,-,5
"1,921",-7,186,23.24,0.55,0.05,"2,400",0.5,0.6,"4,000","1,760.00","6,400",186.55,202,"5,200",-,-,-,-,-,61
235,12,23,25.47,0.55,-,800,0.5,0.55,400,"1,780.00","1,200",211.7,222.95,"3,600",-,-,-,-,-,1
"1,075",14,187,27.34,0.6,0.05,"6,800",0.55,0.6,"4,800","1,800.00",400,235.4,238.6,400,3,238,40.12,1,-,192
142,-,12,29.7,0.4,-0.1,"3,200",0.4,0.5,"21,200","1,840.00","1,200",265.75,283.05,"3,600",-,-,-,-,-,8
154,4,11,34.46,0.55,0.15,"2,800",0.35,0.5,400,"1,880.00",400,313.65,321.4,"11,200",-,-,-,-,-,175
