OI_c,CHNG_IN_OI_c,VOLUME_c,IV_c,LTP_c,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG_IN_OI,OI
77,-24,89,-,"2,486.90",84.75,"1,725","2,349.20","2,560.00",75,"22,250.00",-,-,0.05,"7,93,875",-0.15,0.05,59,"7,91,485","-20,831","45,253"
16,-8,29,-,"2,430.00",94,"1,725","2,288.30","2,627.10","1,725","22,300.00",-,-,0.05,"1,84,575",-0.15,0.05,57.84,"2,19,230","-20,013","17,081"
7,-,-,-,"2,534.35",0.45,"1,725","2,189.80","2,577.90","1,725","22,350.00",-,-,0.05,"2,34,675",-0.15,0.05,56.68,"98,869","-4,345","8,806"
13,-,-,-,"2,240.40",-,"1,725","2,191.05","2,529.40","1,725","22,400.00",-,-,0.05,"7,200",-0.15,0.05,55.53,"87,449","-5,946","11,532"
10,4,4,-,"2,156.00",-254.85,"1,800","2,247.80","2,475.35","1,725","22,450.00",-,-,0.05,"7,200",-0.2,0.05,54.37,"19,921","-1,275","2,025"
78,20,123,-,"2,249.40",114.1,150,"2,249.55","2,253.25",75,"22,500.00","15,750",0.05,0.1,"45,900",-0.2,0.05,53.21,"1,01,911","-5,827","14,099"
10,-,4,118.86,"2,250.00",-39.5,"1,725","2,067.45","2,390.05","1,725","22,550.00",-,-,0.05,"3,150",-0.25,0.05,52.06,"18,261","-1,548","1,763"
10,-,-,-,"2,020.00",-,"1,725","1,974.10","2,326.45","1,725","22,600.00",-,-,0.05,"75,375",-0.2,0.05,50.91,"55,383",-227,"5,724"
8,-,-,-,"2,202.45",-,"1,725","1,933.10","2,283.20","1,725","22,650.00",-,-,0.05,"9,675",-0.25,0.05,49.75,"16,976",488,"2,516"
14,-27,48,-,"2,030.60",97.55,"1,725","1,907.60","2,213.45","1,725","22,700.00",-,-,0.05,"3,225",-0.2,0.05,48.6,"49,342","-1,176","4,337"
5,-17,27,-,"1,979.75",121.15,150,"1,996.35","2,174.55",75,"22,750.00",-,-,0.05,"3,375",-0.3,0.05,47.45,"16,754",766,"2,515"
27,-3,62,-,"1,933.15",96.45,"1,725","1,790.70","2,181.30","1,725","22,800.00",-,-,0.05,"4,725",-0.25,0.05,46.3,"19,668","-1,271","4,120"
13,-10,51,-,"1,881.25",114.1,"1,725","1,764.45","2,095.45","1,725","22,850.00",-,-,0.05,"9,300",-0.3,0.05,45.15,"12,065",-648,"1,607"
16,-3,38,-,"1,838.75",122.6,150,"1,847.35","2,033.20",300,"22,900.00",-,-,0.05,"2,100",-0.3,0.05,44,"20,879","-2,275","2,678"
7,-,-,-,"1,903.15",-,225,"1,674.15","1,967.85","1,725","22,950.00",-,-,0.05,"8,550",-0.35,0.05,42.86,"16,676",-594,"2,125"
509,-384,844,-,"1,751.50",130.6,75,"1,750.05","1,754.90",75,"23,000.00",-,-,0.05,"2,49,300",-0.35,0.05,41.71,"2,12,729","-30,094","27,049"
6,-2,2,-,"1,660.00",120,"1,725","1,562.60","1,872.15",150,"23,050.00",-,-,0.05,"5,100",-0.35,0.05,40.56,"22,820","-1,447","1,317"
52,-7,149,-,"1,639.85",104.1,"1,725","1,496.70","1,832.00","1,725","23,100.00",-,-,0.05,"5,850",-0.4,0.05,39.42,"30,189","-4,101","4,115"
16,1,13,-,"1,546.10",115.6,"1,725","1,469.05","1,809.00","1,725","23,150.00",-,-,0.05,"9,600",-0.4,0.05,38.27,"16,885",-200,"2,352"
