OI_c,CHNG_IN_OI_c,VOLUME_c,IV_c,LTP_c,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG_IN_OI,OI
-,-,-,-,-,-,-,-,-,-,960,500,0.15,0.3,"5,000",-,0.2,65.96,4,-,114
-,-,-,-,-,-,-,-,-,-,"1,000.00","6,500",0.15,0.45,"1,000",-,0.15,58.25,10,8,146
-,-,-,-,-,-,-,-,-,-,"1,060.00","1,500",0.1,0.15,"23,000",-0.05,0.1,47.92,3,-,111
-,-,-,-,-,-,-,-,-,-,"1,080.00","2,000",0.15,0.3,"4,000",-,-,-,-,-,8
-,-,-,-,-,-,-,-,-,-,"1,100.00","2,500",0.25,0.3,"9,500",-,0.25,48,9,3,418
120,-,-,-,-,-,"1,500",325,337.15,"5,000","1,120.00","40,000",0.1,0.2,"13,000",-0.05,0.2,43.18,1,-,125
721,-,-,-,-,-,"1,500",304.55,311.1,"1,500","1,140.00","56,500",0.1,0.15,"1,500",-0.1,0.1,37.7,5,-1,111
-,-,-,-,-,-,-,-,-,-,"1,160.00","35,000",0.15,0.3,"7,500",-,0.3,39.71,12,-2,144
10,-,-,-,-,-,"2,500",263.8,273.3,"2,000","1,180.00","14,000",0.2,0.35,"4,500",-,-,-,-,-,34
375,-,5,-,248,-,500,247.55,250.45,500,"1,200.00","13,500",0.35,0.4,"52,500",0.05,0.4,35.01,174,-49,"1,463"
1,-,-,-,-,-,"1,500",223.05,235,"1,500","1,220.00","5,000",0.35,0.4,500,-,0.35,32.32,2,-,104
19,-,-,-,-,-,500,214.5,223.65,"2,000","1,230.00","7,000",0.3,0.65,"4,000",-0.15,0.4,31.54,1,-,20
1,-,-,-,-,-,"1,500",203.3,215.45,"1,500","1,240.00","1,000",0.4,0.55,"1,000",-0.1,0.45,30.67,12,-11,687
25,-,-,-,-,-,"8,000",197,200.55,"2,500","1,250.00","6,000",0.5,0.55,"1,500",-0.1,0.5,29.75,81,-7,640
101,-,-,-,-,-,"23,500",185.4,191.6,500,"1,260.00","4,000",0.6,0.7,"1,500",-0.15,0.6,29.49,169,-59,316
9,-,-,-,-,-,"2,000",175.5,185.6,"3,500","1,270.00",500,0.8,0.85,"6,500",-0.1,0.8,29,92,-12,401
11,-,-,-,-,-,"2,000",165.7,172.7,"2,000","1,280.00","8,500",0.95,1,"6,500",-0.1,0.95,28.09,225,10,"1,195"
2,-,-,-,-,-,"1,500",154.65,166,"1,500","1,290.00","6,500",1.1,1.15,"4,500",-0.15,1.1,27.56,102,9,459
703,-3,13,30.18,155.15,6.95,500,148.85,151.35,500,"1,300.00","2,000",1.35,1.4,"19,000",-0.15,1.35,26.86,"1,481",31,"4,923"
102,-,-,-,-,-,500,138.35,141.6,"1,000","1,310.00","8,000",1.5,1.55,"1,000",-0.15,1.55,26.03,179,9,361
